techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_from,link_to
TH46_TH45_interp_10_to_TH45,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH46_TH45_interp_10,TH45
TH47_to_TH47_TH46_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH47,TH47_TH46_interp_1
TH47_TH46_interp_1_to_TH47_TH46_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH47_TH46_interp_1,TH47_TH46_interp_2
TH47_TH46_interp_2_to_TH47_TH46_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH47_TH46_interp_2,TH47_TH46_interp_3
TH47_TH46_interp_3_to_TH47_TH46_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH47_TH46_interp_3,TH47_TH46_interp_4
TH47_TH46_interp_4_to_TH47_TH46_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH47_TH46_interp_4,TH47_TH46_interp_5
TH47_TH46_interp_5_to_TH47_TH46_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH47_TH46_interp_5,TH47_TH46_interp_6
TH47_TH46_interp_6_to_TH47_TH46_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH47_TH46_interp_6,TH47_TH46_interp_7
TH47_TH46_interp_7_to_TH47_TH46_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH47_TH46_interp_7,TH47_TH46_interp_8
TH47_TH46_interp_8_to_TH47_TH46_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH47_TH46_interp_8,TH47_TH46_interp_9
TH47_TH46_interp_9_to_TH47_TH46_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH47_TH46_interp_9,TH47_TH46_interp_10
TH47_TH46_interp_10_to_TH46,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH47_TH46_interp_10,TH46
TH48_to_TH48_TH47_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH48,TH48_TH47_interp_1
TH48_TH47_interp_1_to_TH48_TH47_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH48_TH47_interp_1,TH48_TH47_interp_2
TH48_TH47_interp_2_to_TH48_TH47_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH48_TH47_interp_2,TH48_TH47_interp_3
TH48_TH47_interp_3_to_TH48_TH47_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH48_TH47_interp_3,TH48_TH47_interp_4
TH48_TH47_interp_4_to_TH48_TH47_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH48_TH47_interp_4,TH48_TH47_interp_5
TH48_TH47_interp_5_to_TH48_TH47_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH48_TH47_interp_5,TH48_TH47_interp_6
TH48_TH47_interp_6_to_TH48_TH47_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH48_TH47_interp_6,TH48_TH47_interp_7
TH48_TH47_interp_7_to_TH48_TH47_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH48_TH47_interp_7,TH48_TH47_interp_8
TH48_TH47_interp_8_to_TH48_TH47_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH48_TH47_interp_8,TH48_TH47_interp_9
TH48_TH47_interp_9_to_TH48_TH47_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH48_TH47_interp_9,TH48_TH47_interp_10
TH48_TH47_interp_10_to_TH47,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH48_TH47_interp_10,TH47
TH49_to_TH49_TH48_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH49,TH49_TH48_interp_1
TH49_TH48_interp_1_to_TH49_TH48_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH49_TH48_interp_1,TH49_TH48_interp_2
TH49_TH48_interp_2_to_TH49_TH48_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH49_TH48_interp_2,TH49_TH48_interp_3
TH49_TH48_interp_3_to_TH49_TH48_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH49_TH48_interp_3,TH49_TH48_interp_4
TH49_TH48_interp_4_to_TH49_TH48_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH49_TH48_interp_4,TH49_TH48_interp_5
TH49_TH48_interp_5_to_TH49_TH48_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH49_TH48_interp_5,TH49_TH48_interp_6
TH49_TH48_interp_6_to_TH49_TH48_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH49_TH48_interp_6,TH49_TH48_interp_7
TH49_TH48_interp_7_to_TH49_TH48_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH49_TH48_interp_7,TH49_TH48_interp_8
TH49_TH48_interp_8_to_TH49_TH48_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH49_TH48_interp_8,TH49_TH48_interp_9
TH49_TH48_interp_9_to_TH49_TH48_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH49_TH48_interp_9,TH49_TH48_interp_10
TH49_TH48_interp_10_to_TH48,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH49_TH48_interp_10,TH48
TH50_to_TH50_TH49_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH50,TH50_TH49_interp_1
TH50_TH49_interp_1_to_TH50_TH49_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH50_TH49_interp_1,TH50_TH49_interp_2
TH50_TH49_interp_2_to_TH50_TH49_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH50_TH49_interp_2,TH50_TH49_interp_3
TH50_TH49_interp_3_to_TH50_TH49_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH50_TH49_interp_3,TH50_TH49_interp_4
TH50_TH49_interp_4_to_TH50_TH49_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH50_TH49_interp_4,TH50_TH49_interp_5
TH50_TH49_interp_5_to_TH50_TH49_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH50_TH49_interp_5,TH50_TH49_interp_6
TH50_TH49_interp_6_to_TH50_TH49_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH50_TH49_interp_6,TH50_TH49_interp_7
TH50_TH49_interp_7_to_TH50_TH49_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH50_TH49_interp_7,TH50_TH49_interp_8
TH50_TH49_interp_8_to_TH50_TH49_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH50_TH49_interp_8,TH50_TH49_interp_9
TH50_TH49_interp_9_to_TH50_TH49_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH50_TH49_interp_9,TH50_TH49_interp_10
TH50_TH49_interp_10_to_TH49,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH50_TH49_interp_10,TH49
TH51_to_TH51_TH50_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH51,TH51_TH50_interp_1
TH51_TH50_interp_1_to_TH51_TH50_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH51_TH50_interp_1,TH51_TH50_interp_2
TH51_TH50_interp_2_to_TH51_TH50_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH51_TH50_interp_2,TH51_TH50_interp_3
TH51_TH50_interp_3_to_TH51_TH50_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH51_TH50_interp_3,TH51_TH50_interp_4
TH51_TH50_interp_4_to_TH51_TH50_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH51_TH50_interp_4,TH51_TH50_interp_5
TH51_TH50_interp_5_to_TH51_TH50_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH51_TH50_interp_5,TH51_TH50_interp_6
TH51_TH50_interp_6_to_TH51_TH50_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH51_TH50_interp_6,TH51_TH50_interp_7
TH51_TH50_interp_7_to_TH51_TH50_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH51_TH50_interp_7,TH51_TH50_interp_8
TH51_TH50_interp_8_to_TH51_TH50_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH51_TH50_interp_8,TH51_TH50_interp_9
TH51_TH50_interp_9_to_TH51_TH50_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH51_TH50_interp_9,TH51_TH50_interp_10
TH51_TH50_interp_10_to_TH50,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH51_TH50_interp_10,TH50
TH52_to_TH52_TH51_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH52,TH52_TH51_interp_1
TH52_TH51_interp_1_to_TH52_TH51_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH52_TH51_interp_1,TH52_TH51_interp_2
TH52_TH51_interp_2_to_TH52_TH51_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH52_TH51_interp_2,TH52_TH51_interp_3
TH52_TH51_interp_3_to_TH52_TH51_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH52_TH51_interp_3,TH52_TH51_interp_4
TH52_TH51_interp_4_to_TH52_TH51_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH52_TH51_interp_4,TH52_TH51_interp_5
TH52_TH51_interp_5_to_TH52_TH51_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH52_TH51_interp_5,TH52_TH51_interp_6
TH52_TH51_interp_6_to_TH52_TH51_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH52_TH51_interp_6,TH52_TH51_interp_7
TH52_TH51_interp_7_to_TH52_TH51_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH52_TH51_interp_7,TH52_TH51_interp_8
TH52_TH51_interp_8_to_TH52_TH51_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH52_TH51_interp_8,TH52_TH51_interp_9
TH52_TH51_interp_9_to_TH52_TH51_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH52_TH51_interp_9,TH52_TH51_interp_10
TH52_TH51_interp_10_to_TH51,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH52_TH51_interp_10,TH51
TH53_to_TH53_TH52_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH53,TH53_TH52_interp_1
TH53_TH52_interp_1_to_TH53_TH52_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH53_TH52_interp_1,TH53_TH52_interp_2
TH53_TH52_interp_2_to_TH53_TH52_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH53_TH52_interp_2,TH53_TH52_interp_3
TH53_TH52_interp_3_to_TH53_TH52_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH53_TH52_interp_3,TH53_TH52_interp_4
TH53_TH52_interp_4_to_TH53_TH52_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH53_TH52_interp_4,TH53_TH52_interp_5
TH53_TH52_interp_5_to_TH53_TH52_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH53_TH52_interp_5,TH53_TH52_interp_6
TH53_TH52_interp_6_to_TH53_TH52_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH53_TH52_interp_6,TH53_TH52_interp_7
TH53_TH52_interp_7_to_TH53_TH52_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH53_TH52_interp_7,TH53_TH52_interp_8
TH53_TH52_interp_8_to_TH53_TH52_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH53_TH52_interp_8,TH53_TH52_interp_9
TH53_TH52_interp_9_to_TH53_TH52_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH53_TH52_interp_9,TH53_TH52_interp_10
TH53_TH52_interp_10_to_TH52,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH53_TH52_interp_10,TH52
TH54_to_TH54_TH53_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH54,TH54_TH53_interp_1
TH54_TH53_interp_1_to_TH54_TH53_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH54_TH53_interp_1,TH54_TH53_interp_2
TH54_TH53_interp_2_to_TH54_TH53_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH54_TH53_interp_2,TH54_TH53_interp_3
TH54_TH53_interp_3_to_TH54_TH53_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH54_TH53_interp_3,TH54_TH53_interp_4
TH54_TH53_interp_4_to_TH54_TH53_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH54_TH53_interp_4,TH54_TH53_interp_5
TH54_TH53_interp_5_to_TH54_TH53_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH54_TH53_interp_5,TH54_TH53_interp_6
TH54_TH53_interp_6_to_TH54_TH53_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH54_TH53_interp_6,TH54_TH53_interp_7
TH54_TH53_interp_7_to_TH54_TH53_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH54_TH53_interp_7,TH54_TH53_interp_8
TH54_TH53_interp_8_to_TH54_TH53_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH54_TH53_interp_8,TH54_TH53_interp_9
TH54_TH53_interp_9_to_TH54_TH53_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH54_TH53_interp_9,TH54_TH53_interp_10
TH54_TH53_interp_10_to_TH53,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH54_TH53_interp_10,TH53
TH55_to_TH55_TH54_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH55,TH55_TH54_interp_1
TH55_TH54_interp_1_to_TH55_TH54_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH55_TH54_interp_1,TH55_TH54_interp_2
TH55_TH54_interp_2_to_TH55_TH54_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH55_TH54_interp_2,TH55_TH54_interp_3
TH55_TH54_interp_3_to_TH55_TH54_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH55_TH54_interp_3,TH55_TH54_interp_4
TH55_TH54_interp_4_to_TH55_TH54_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH55_TH54_interp_4,TH55_TH54_interp_5
TH55_TH54_interp_5_to_TH55_TH54_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH55_TH54_interp_5,TH55_TH54_interp_6
TH55_TH54_interp_6_to_TH55_TH54_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH55_TH54_interp_6,TH55_TH54_interp_7
TH55_TH54_interp_7_to_TH55_TH54_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH55_TH54_interp_7,TH55_TH54_interp_8
TH55_TH54_interp_8_to_TH55_TH54_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH55_TH54_interp_8,TH55_TH54_interp_9
TH55_TH54_interp_9_to_TH55_TH54_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH55_TH54_interp_9,TH55_TH54_interp_10
TH55_TH54_interp_10_to_TH54,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH55_TH54_interp_10,TH54
TH56_to_TH56_TH55_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH56,TH56_TH55_interp_1
TH56_TH55_interp_1_to_TH56_TH55_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH56_TH55_interp_1,TH56_TH55_interp_2
TH56_TH55_interp_2_to_TH56_TH55_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH56_TH55_interp_2,TH56_TH55_interp_3
TH56_TH55_interp_3_to_TH56_TH55_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH56_TH55_interp_3,TH56_TH55_interp_4
TH56_TH55_interp_4_to_TH56_TH55_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH56_TH55_interp_4,TH56_TH55_interp_5
TH56_TH55_interp_5_to_TH56_TH55_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH56_TH55_interp_5,TH56_TH55_interp_6
TH56_TH55_interp_6_to_TH56_TH55_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH56_TH55_interp_6,TH56_TH55_interp_7
TH56_TH55_interp_7_to_TH56_TH55_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH56_TH55_interp_7,TH56_TH55_interp_8
TH56_TH55_interp_8_to_TH56_TH55_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH56_TH55_interp_8,TH56_TH55_interp_9
TH56_TH55_interp_9_to_TH56_TH55_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH56_TH55_interp_9,TH56_TH55_interp_10
TH56_TH55_interp_10_to_TH55,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH56_TH55_interp_10,TH55
TH57_to_TH57_TH56_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH57,TH57_TH56_interp_1
TH57_TH56_interp_1_to_TH57_TH56_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH57_TH56_interp_1,TH57_TH56_interp_2
TH57_TH56_interp_2_to_TH57_TH56_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH57_TH56_interp_2,TH57_TH56_interp_3
TH57_TH56_interp_3_to_TH57_TH56_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH57_TH56_interp_3,TH57_TH56_interp_4
TH57_TH56_interp_4_to_TH57_TH56_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH57_TH56_interp_4,TH57_TH56_interp_5
TH57_TH56_interp_5_to_TH57_TH56_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH57_TH56_interp_5,TH57_TH56_interp_6
TH57_TH56_interp_6_to_TH57_TH56_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH57_TH56_interp_6,TH57_TH56_interp_7
TH57_TH56_interp_7_to_TH57_TH56_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH57_TH56_interp_7,TH57_TH56_interp_8
TH57_TH56_interp_8_to_TH57_TH56_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH57_TH56_interp_8,TH57_TH56_interp_9
TH57_TH56_interp_9_to_TH57_TH56_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH57_TH56_interp_9,TH57_TH56_interp_10
TH57_TH56_interp_10_to_TH56,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH57_TH56_interp_10,TH56
TH39_to_TH39_TH57_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH39,TH39_TH57_interp_1
TH39_TH57_interp_1_to_TH39_TH57_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH39_TH57_interp_1,TH39_TH57_interp_2
TH39_TH57_interp_2_to_TH39_TH57_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH39_TH57_interp_2,TH39_TH57_interp_3
TH39_TH57_interp_3_to_TH39_TH57_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH39_TH57_interp_3,TH39_TH57_interp_4
TH39_TH57_interp_4_to_TH39_TH57_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH39_TH57_interp_4,TH39_TH57_interp_5
TH39_TH57_interp_5_to_TH39_TH57_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH39_TH57_interp_5,TH39_TH57_interp_6
TH39_TH57_interp_6_to_TH39_TH57_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH39_TH57_interp_6,TH39_TH57_interp_7
TH39_TH57_interp_7_to_TH39_TH57_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH39_TH57_interp_7,TH39_TH57_interp_8
TH39_TH57_interp_8_to_TH39_TH57_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH39_TH57_interp_8,TH39_TH57_interp_9
TH39_TH57_interp_9_to_TH39_TH57_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH39_TH57_interp_9,TH39_TH57_interp_10
TH39_TH57_interp_10_to_TH57,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH39_TH57_interp_10,TH57
TH58_to_TH58_TH49_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH58,TH58_TH49_interp_1
TH58_TH49_interp_1_to_TH58_TH49_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH58_TH49_interp_1,TH58_TH49_interp_2
TH58_TH49_interp_2_to_TH58_TH49_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH58_TH49_interp_2,TH58_TH49_interp_3
TH58_TH49_interp_3_to_TH58_TH49_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH58_TH49_interp_3,TH58_TH49_interp_4
TH58_TH49_interp_4_to_TH58_TH49_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH58_TH49_interp_4,TH58_TH49_interp_5
TH58_TH49_interp_5_to_TH58_TH49_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH58_TH49_interp_5,TH58_TH49_interp_6
TH58_TH49_interp_6_to_TH58_TH49_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH58_TH49_interp_6,TH58_TH49_interp_7
TH58_TH49_interp_7_to_TH58_TH49_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH58_TH49_interp_7,TH58_TH49_interp_8
TH58_TH49_interp_8_to_TH58_TH49_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH58_TH49_interp_8,TH58_TH49_interp_9
TH58_TH49_interp_9_to_TH58_TH49_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH58_TH49_interp_9,TH58_TH49_interp_10
TH58_TH49_interp_10_to_TH49,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH58_TH49_interp_10,TH49
TH59_to_TH59_TH58_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH59,TH59_TH58_interp_1
TH59_TH58_interp_1_to_TH59_TH58_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH59_TH58_interp_1,TH59_TH58_interp_2
TH59_TH58_interp_2_to_TH59_TH58_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH59_TH58_interp_2,TH59_TH58_interp_3
TH59_TH58_interp_3_to_TH59_TH58_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH59_TH58_interp_3,TH59_TH58_interp_4
TH59_TH58_interp_4_to_TH59_TH58_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH59_TH58_interp_4,TH59_TH58_interp_5
TH59_TH58_interp_5_to_TH59_TH58_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH59_TH58_interp_5,TH59_TH58_interp_6
TH59_TH58_interp_6_to_TH59_TH58_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH59_TH58_interp_6,TH59_TH58_interp_7
TH59_TH58_interp_7_to_TH59_TH58_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH59_TH58_interp_7,TH59_TH58_interp_8
TH59_TH58_interp_8_to_TH59_TH58_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH59_TH58_interp_8,TH59_TH58_interp_9
TH59_TH58_interp_9_to_TH59_TH58_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH59_TH58_interp_9,TH59_TH58_interp_10
TH59_TH58_interp_10_to_TH58,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH59_TH58_interp_10,TH58
TH60_to_TH60_TH59_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH60,TH60_TH59_interp_1
TH60_TH59_interp_1_to_TH60_TH59_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH60_TH59_interp_1,TH60_TH59_interp_2
TH60_TH59_interp_2_to_TH60_TH59_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH60_TH59_interp_2,TH60_TH59_interp_3
TH60_TH59_interp_3_to_TH60_TH59_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH60_TH59_interp_3,TH60_TH59_interp_4
TH60_TH59_interp_4_to_TH60_TH59_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH60_TH59_interp_4,TH60_TH59_interp_5
TH60_TH59_interp_5_to_TH60_TH59_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH60_TH59_interp_5,TH60_TH59_interp_6
TH60_TH59_interp_6_to_TH60_TH59_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH60_TH59_interp_6,TH60_TH59_interp_7
TH60_TH59_interp_7_to_TH60_TH59_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH60_TH59_interp_7,TH60_TH59_interp_8
TH60_TH59_interp_8_to_TH60_TH59_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH60_TH59_interp_8,TH60_TH59_interp_9
TH60_TH59_interp_9_to_TH60_TH59_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH60_TH59_interp_9,TH60_TH59_interp_10
TH60_TH59_interp_10_to_TH59,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH60_TH59_interp_10,TH59
TH61_to_TH61_TH60_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH61,TH61_TH60_interp_1
TH61_TH60_interp_1_to_TH61_TH60_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH61_TH60_interp_1,TH61_TH60_interp_2
TH61_TH60_interp_2_to_TH61_TH60_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH61_TH60_interp_2,TH61_TH60_interp_3
TH61_TH60_interp_3_to_TH61_TH60_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH61_TH60_interp_3,TH61_TH60_interp_4
TH61_TH60_interp_4_to_TH61_TH60_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH61_TH60_interp_4,TH61_TH60_interp_5
TH61_TH60_interp_5_to_TH61_TH60_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH61_TH60_interp_5,TH61_TH60_interp_6
TH61_TH60_interp_6_to_TH61_TH60_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH61_TH60_interp_6,TH61_TH60_interp_7
TH61_TH60_interp_7_to_TH61_TH60_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH61_TH60_interp_7,TH61_TH60_interp_8
TH61_TH60_interp_8_to_TH61_TH60_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH61_TH60_interp_8,TH61_TH60_interp_9
